2012 rank,City,State,2012 estimate,2010 Census,Change,2010 land area,2010 population density,Location,img_url
1,New York,NY,"83,36,697","81,75,133",1.98%,302.643_sq_mi,"27,012_per_sq_mi",40.6643康 73.9385晃,http://media-cdn.tripadvisor.com/media/photo-s/03/9b/2d/f2/new-york-city.jpg
,,,,,,783.842_km2,"10,430_km-2",,
2,Los Angeles,CA,"38,57,799","37,92,621",1.72%,468.670_sq_mi,"8,092_per_sq_mi",34.0194康 118.4108晃,http://socialventurepartners.org.s3.amazonaws.com/www.socialventurepartners.org/sites/49/2013/05/Los-Angeles-Slider1.jpg
,,,,,,"1,213.850_km2","3,124_km-2",,
3,Chicago,IL,"27,14,856","26,95,598",0.71%,227.635_sq_mi,"11,842_per_sq_mi",41.8376康 87.6818晃,"https://upload.wikimedia.org/wikipedia/commons/e/e8/20090524_Buildings_along_Chicago_River_line_the_south_border_of_the_Near_North_Side_and_Streeterville_and_the_north_border_of_Chicago_Loop,_Lakeshore_East_and_Illinois_Center.jpg"
,,,,,,589.571_km2,"4,572_km-2",,
4,Houston,TX,"21,60,821","21,00,263",2.88%,599.589_sq_mi,"3,501_per_sq_mi",29.7805康 95.3863晃,https://upload.wikimedia.org/wikipedia/commons/4/44/Panoramic_Houston_skyline.jpg
,,,,,,"1,552.929_km2","1,352_km-2",,
5,Philadelphia,PA,"15,47,607","15,26,006",1.42%,134.101_sq_mi,"11,379_per_sq_mi",40.0094康 75.1333晃,https://geoguessr.com/images/dd05effb76800125147b1b4b86956f0c.jpg
,,,,,,347.321_km2,"4,394_km-2",,
6,Phoenix,AZ,"14,88,750","14,45,632",2.98%,516.704_sq_mi,"2,798_per_sq_mi",33.5722康 112.0880晃,http://westwoodps.com/sites/default/files/styles/slideshow_slide_small/public/phoenix_1_0.jpg?itok=qw1E-P3V
,,,,,,"1,338.256_km2","1,080_km-2",,
7,San Antonio,TX,"13,82,951","13,27,407",4.18%,460.933_sq_mi,"2,880_per_sq_mi",29.4724康 98.5251晃,http://www.chcp.edu/sites/default/files/content/CHCP-San-Antonio-Campus
,,,,,,"1,193.812_km2","1,112_km-2",,
8,San Diego,CA,"13,38,348","13,07,402",2.37%,325.188_sq_mi,"4,020_per_sq_mi",32.8153康 117.1350晃,http://media-cdn.tripadvisor.com/media/photo-s/05/a4/ee/8f/san-diego.jpg
,,,,,,842.233_km2,"1,552_km-2",,
9,Dallas,TX,"12,41,162","11,97,816",3.62%,340.519_sq_mi,"3,518_per_sq_mi",32.7757康 96.7967晃,https://www.smu.edu/~/media/Site/Simmons/EdLeadership/Higher%20Ed/Dallas%20Skyline.ashx?la=en
,,,,,,881.939_km2,"1,358_km-2",,
10,San Jose,CA,"9,82,765","9,45,942",3.89%,176.526_sq_mi,"5,359_per_sq_mi",37.2969康 121.8193晃,http://www.sfmoving.com/wp-content/uploads/2015/05/san-jose.jpg
,,,,,,457.201_km2,"2,069_km-2",,
11,Austin,TX,"8,42,592","7,90,390",6.60%,297.896_sq_mi,"2,653_per_sq_mi",30.3072康 97.7560晃,https://www.spiabroad.com/wp-content/uploads/2015/10/austin-tx.jpg
,,,,,,771.547_km2,"1,024_km-2",,
12,Jacksonville,FL,"8,36,507","8,21,784",1.79%,747.003_sq_mi,"1,100_per_sq_mi",30.3370康 81.6613晃,http://www.clubcorp.com/var/ezflow_site/storage/images/media/clubs/university-club-of-jacksonville-media-folder/images/facilities/views/univerisity-club-of-jacksonville-jacksonville-fl-down-town-view-960x410/3007808-1-eng-US/Univerisity-Club-of-Jacksonville-Jacksonville-FL-down-town-view-960x410_rotatingGalleryFront.jpg
,,,,,,"1,934.729_km2",425_km-2,,
13,Indianapolis,IN,"8,34,852","8,20,445",1.76%,361.433_sq_mi,"2,270_per_sq_mi",39.7767康 86.1459晃,http://www.diversifiedvehicleservices.com/diversifiedvehicleservices/images/indianapolis.jpg
,,,,,,936.108_km2,876_km-2,,
14,San Francisco,CA,"8,25,863","8,05,235",2.56%,46.873_sq_mi,"17,179_per_sq_mi",37.7751康 122.4193晃,http://static3.businessinsider.com/image/51d31170eab8ea101b000001/san-francisco-is-americas-snobbiest-city-according-to-the-rest-of-the-country.jpg
,,,,,,121.400_km2,"6,633_km-2",,
